Nome,Versao,Data
requests,3.7,22-05-2023
django,3.8,03-07-2023
numpy,3.9,08-07-2023
flask,3.8,01-05-2023
pandas,3.8,28-06-2023
matplotlib,3.8,05-07-2023
scikit-learn,3.8,30-06-2023
tensorflow,3.8,05-07-2023
keras,3.8,27-06-2023
nltk,3.7,02-01-2023
beautifulsoup4,3.6.0,07-04-2023
sqlalchemy,3.7,05-07-2023
seaborn,3.7,30-12-2022
scipy,"<3.13,3.9",28-06-2023
opencv-python,3.6,30-06-2023
pytorch,None,24-04-2019
pillow,3.8,01-07-2023
networkx,3.8,04-04-2023
gensim,3.8,10-03-2023
pytz,None,29-03-2023
pytest,3.7,23-06-2023
pyyaml,3.6,13-10-2021
pymongo,3.7,21-06-2023
sympy,3.8,10-05-2023
bokeh,3.9,21-06-2023
plotly,3.6,08-06-2023
jupyter,None,12-08-2015
scapy,"2.7, !3.0.*, !3.1.*, !3.2.*, !3.3.*, <4",25-12-2022
virtualenv,3.7,16-06-2023
pyautogui,None,24-05-2023
twilio,3.7.0,28-06-2023
pyinstaller,"<3.13,3.7",24-06-2023
tweepy,3.7,24-04-2023
pygame,3.6,24-06-2023
openpyxl,3.6,11-03-2023
pyodbc,"2.7, !3.0.*, !3.1.*, !3.2.*, !3.3.*, !3.4.*, !3.5.*",14-04-2023
xlrd,"2.7, !3.0.*, !3.1.*, !3.2.*, !3.3.*, !3.4.*, !3.5.*",11-12-2020
xlwt,None,22-08-2017
pyarrow,3.7,13-06-2023
boto3, 3.7,07-07-2023
paramiko,3.6,25-05-2023
flask-restful,None,21-05-2023
pyqt5,3.7,06-02-2023
pycrypto,None,20-06-2014
pydantic,3.7,05-07-2023
pysocks,"2.7, !3.0.*, !3.1.*, !3.2.*, !3.3.*",20-09-2019
django-rest-framework,None,20-07-2017
pygments,3.7,18-04-2023
docx,None,06-02-2014
praw,~3.7,25-02-2023
